ticket_id,order_id,customer_id,ticket_date,issue_category,issue_description,priority,ticket_status,resolution_days,customer_satisfaction_score
TICK00001,ORD00334,CUST0141,2024-09-23,Payment,Payment status is showing pending,Low,Closed,9.0,1.0
TICK00002,ORD02246,CUST0427,2024-09-15,Product,Product quality is not good compared to description,Low,Open,,
TICK00003,ORD02306,CUST0668,2024-12-13,Payment,Payment failed but amount was deducted,Medium,Closed,6.0,2.0
TICK00004,ORD02127,CUST0235,2024-01-26,Delivery,Order was delivered very late,Low,Closed,4.0,5.0
TICK00005,ORD01922,CUST0617,2024-01-23,Payment,Payment failed but amount was deducted,Low,Open,,
TICK00006,ORD01361,CUST0401,2024-11-07,Refund,Refund status is not updated,Medium,Open,,
TICK00007,ORD01530,CUST0267,2024-05-27,Return,Return process is taking too much time,Medium,Closed,4.0,4.0
TICK00008,ORD02019,CUST0763,2024-08-14,Delivery,Delivery partner did not call before marking delivery failed,Low,Escalated,7.0,
TICK00009,ORD02428,CUST0580,2024-04-12,Product,Wrong product was delivered,High,Closed,3.0,2.0
TICK00010,ORD02204,CUST0781,2024-03-06,Delivery,Order was delivered very late,Medium,Escalated,3.0,
TICK00011,ORD00905,CUST0380,2024-12-17,App/Website,Product page is not loading properly,High,Closed,6.0,1.0
TICK00012,ORD00520,CUST0775,2024-08-06,Product,Product is not working properly,Low,Closed,2.0,3.0
TICK00013,ORD00768,CUST0692,2024-06-27,Payment,Payment failed but amount was deducted,Medium,Closed,7.0,2.0
TICK00014,ORD02436,CUST0664,2024-09-21,Delivery,Order was delivered very late,High,Closed,6.0,2.0
TICK00015,ORD00166,CUST0013,2024-08-05,Payment,Cash on Delivery option is not available,Low,Closed,9.0,2.0
TICK00016,ORD00117,CUST0289,2024-01-18,Refund,Unable to complete payment using UPI,Medium,Closed,3.0,1.0
TICK00017,ORD00245,CUST0286,2024-01-16,Delivery,Order was delivered very late,High,Closed,4.0,1.0
TICK00018,ORD01326,CUST0272,2024-03-06,Delivery,My order is delayed and I have not received any update,Medium,Closed,4.0,5.0
TICK00019,ORD02414,CUST0744,2024-07-13,Payment,Cash on Delivery option is not available,Low,Open,,
TICK00020,ORD00051,CUST0656,2024-04-20,Product,Product is not working properly,Medium,Closed,3.0,3.0
TICK00021,ORD01310,CUST0502,2024-06-01,Refund,Refund is delayed for more than one week,Medium,Closed,8.0,5.0
TICK00022,ORD01175,CUST0442,2024-01-25,Delivery,My order is delayed and I have not received any update,Low,Open,,
TICK00023,ORD01437,CUST0213,2024-10-22,Refund,Refund is delayed for more than one week,Low,Closed,4.0,2.0
TICK00024,ORD00465,CUST0087,2024-08-08,Payment,Unable to complete payment using UPI,Medium,Open,,
TICK00025,ORD01795,CUST0704,2024-11-21,Refund,Refund amount is incorrect,Low,Closed,4.0,5.0
TICK00026,ORD00943,CUST0754,2024-02-09,Return,I am unable to schedule return pickup,High,Closed,2.0,5.0
TICK00027,ORD01556,CUST0613,2024-01-27,Refund,Refund status is not updated,Medium,Closed,1.0,1.0
TICK00028,ORD01320,CUST0464,2024-11-27,App/Website,Unable to login to my account,Medium,Open,,
TICK00029,ORD02255,CUST0340,2024-12-27,Return,Return request is not getting approved,Low,Escalated,9.0,
TICK00030,ORD01493,CUST0405,2024-02-03,Return,Return pickup has not been completed,Low,Escalated,6.0,
TICK00031,ORD01165,CUST0317,2024-01-19,Refund,Refund amount is incorrect,High,Closed,9.0,4.0
TICK00032,ORD00133,CUST0748,2024-09-27,Delivery,My order is delayed and I have not received any update,High,Closed,8.0,1.0
TICK00033,ORD01322,CUST0703,2024-06-10,App/Website,Coupon code is not applying,Low,Closed,2.0,1.0
TICK00034,ORD02324,CUST0124,2024-12-01,Refund,Refund is delayed for more than one week,Medium,Open,,
TICK00035,ORD00276,CUST0210,2024-09-27,Product,Product is not working properly,Low,Closed,7.0,5.0
TICK00036,ORD02342,CUST0655,2024-06-27,Refund,Refund status is not updated,Low,Open,,
TICK00037,ORD00918,CUST0147,2024-09-25,Delivery,Delivery partner did not call before marking delivery failed,High,Closed,4.0,3.0
TICK00038,ORD01136,CUST0018,2024-07-18,Delivery,Delivery partner did not call before marking delivery failed,High,Open,,
TICK00039,ORD01241,CUST0440,2024-03-07,Return,I am unable to schedule return pickup,Medium,Open,,
TICK00040,ORD00758,CUST0161,2024-07-15,App/Website,App is crashing during checkout,Low,Closed,4.0,2.0
TICK00041,ORD01190,CUST0108,2024-05-30,Return,Return request is not getting approved,Low,Escalated,3.0,
TICK00042,ORD01675,CUST0728,2024-02-02,Delivery,Order was delivered very late,Low,Open,,
TICK00043,ORD00515,CUST0306,2024-09-18,Delivery,My order is delayed and I have not received any update,Medium,Closed,8.0,3.0
TICK00044,ORD01923,CUST0357,2024-02-18,Refund,Refund not received even after return pickup,Low,Closed,6.0,1.0
TICK00045,ORD00423,CUST0702,2024-06-14,Payment,Cash on Delivery option is not available,Low,Closed,6.0,4.0
TICK00046,ORD00552,CUST0508,2024-11-03,Product,Wrong product was delivered,Low,Closed,4.0,3.0
TICK00047,ORD00772,CUST0416,2024-10-31,Delivery,Delivery partner did not call before marking delivery failed,Medium,Open,,
TICK00048,ORD00960,CUST0764,2024-07-13,Refund,Refund is delayed for more than one week,Low,Escalated,3.0,
TICK00049,ORD01012,CUST0435,2024-12-25,Payment,Cash on Delivery option is not available,Medium,Closed,2.0,1.0
TICK00050,ORD00227,CUST0215,2024-08-16,Return,Return process is taking too much time,Medium,Open,,
TICK00051,ORD01665,CUST0601,2024-06-10,Payment,Cash on Delivery option is not available,High,Closed,8.0,4.0
TICK00052,ORD01378,CUST0331,2024-10-25,Refund,Refund not received even after return pickup,Medium,Closed,6.0,4.0
TICK00053,ORD00970,CUST0532,2024-11-01,Return,I am unable to schedule return pickup,Low,Open,,
TICK00054,ORD00829,CUST0099,2024-12-16,App/Website,Coupon code is not applying,High,Closed,8.0,3.0
TICK00055,ORD01524,CUST0467,2024-06-12,Return,Return pickup has not been completed,Low,Closed,9.0,5.0
TICK00056,ORD00798,CUST0008,2024-03-28,Return,Return pickup has not been completed,Medium,Closed,2.0,4.0
TICK00057,ORD01510,CUST0426,2024-02-20,Refund,Refund amount is incorrect,High,Open,,
TICK00058,ORD01935,CUST0008,2024-07-25,Product,Wrong product was delivered,Low,Open,,
TICK00059,ORD01286,CUST0662,2024-08-08,Refund,Refund status is not updated,High,Closed,2.0,2.0
TICK00060,ORD02398,CUST0025,2024-04-04,Delivery,My order is delayed and I have not received any update,Medium,Closed,5.0,1.0
TICK00061,ORD02219,CUST0192,2024-06-20,App/Website,Unable to login to my account,Low,Closed,6.0,1.0
TICK00062,ORD00083,CUST0251,2024-04-09,Return,Return pickup has not been completed,Medium,Open,,
TICK00063,ORD02337,CUST0720,2024-09-18,Delivery,Order was delivered very late,High,Open,,
TICK00064,ORD01622,CUST0275,2024-12-21,Return,Return pickup has not been completed,Medium,Closed,4.0,1.0
TICK00065,ORD00641,CUST0547,2024-11-17,Delivery,Delivery partner did not call before marking delivery failed,Low,Open,,
TICK00066,ORD02064,CUST0785,2024-10-14,Delivery,Delivery partner did not call before marking delivery failed,High,Closed,2.0,4.0
TICK00067,ORD00762,CUST0479,2024-08-13,Delivery,Order was delivered very late,High,Closed,7.0,3.0
TICK00068,ORD00492,CUST0321,2024-08-12,Refund,Refund is delayed for more than one week,Low,Closed,6.0,3.0
TICK00069,ORD01653,CUST0451,2024-08-17,Return,Return request is not getting approved,Low,Closed,8.0,5.0
TICK00070,ORD00001,CUST0168,2024-04-10,Refund,Refund is delayed for more than one week,Low,Closed,4.0,3.0
TICK00071,ORD02152,CUST0264,2024-04-03,Refund,Refund status is not updated,Medium,Closed,2.0,3.0
TICK00072,ORD02008,CUST0751,2024-05-26,Refund,Refund amount is incorrect,Medium,Escalated,3.0,
TICK00073,ORD02295,CUST0523,2024-05-31,Payment,Cash on Delivery option is not available,Low,Escalated,1.0,
TICK00074,ORD02003,CUST0600,2024-03-30,Refund,Refund amount is incorrect,Medium,Closed,7.0,5.0
TICK00075,ORD01333,CUST0698,2024-01-27,Return,Return process is taking too much time,Low,Closed,6.0,1.0
TICK00076,ORD01928,CUST0051,2024-08-19,Payment,Cash on Delivery option is not available,Low,Escalated,7.0,
TICK00077,ORD02066,CUST0123,2024-02-09,Refund,Refund amount is incorrect,Low,Closed,5.0,4.0
TICK00078,ORD02262,CUST0147,2024-07-09,Refund,Refund status is not updated,Medium,Open,,
TICK00079,ORD00600,CUST0349,2024-12-01,Refund,Refund not received even after return pickup,Medium,Open,,
TICK00080,ORD01951,CUST0103,2024-01-19,Refund,Refund is delayed for more than one week,Medium,Open,,
TICK00081,ORD00780,CUST0756,2024-01-16,Return,Return process is taking too much time,Low,Open,,
TICK00082,ORD01905,CUST0542,2024-02-07,App/Website,Product page is not loading properly,Medium,Closed,2.0,1.0
TICK00083,ORD01741,CUST0589,2024-09-26,Payment,Cash on Delivery option is not available,Medium,Open,,
TICK00084,ORD01014,CUST0015,2024-11-18,Payment,Cash on Delivery option is not available,Medium,Closed,6.0,4.0
TICK00085,ORD00195,CUST0648,2024-08-14,Delivery,Package tracking is not updating properly,Medium,Closed,4.0,1.0
TICK00086,ORD02409,CUST0684,2024-03-18,Delivery,Order was delivered very late,Medium,Closed,5.0,3.0
TICK00087,ORD01921,CUST0316,2024-04-16,Refund,Refund is delayed for more than one week,Medium,Open,,
TICK00088,ORD01867,CUST0168,2024-04-12,Refund,Refund status is not updated,Medium,Closed,8.0,2.0
TICK00089,ORD00900,CUST0779,2024-02-29,Payment,Payment status is showing pending,Low,Closed,9.0,3.0
TICK00090,ORD02380,CUST0456,2024-02-19,Refund,Refund not received even after return pickup,Low,Closed,8.0,3.0
TICK00091,ORD02112,CUST0005,2024-05-04,Refund,Refund not received even after return pickup,Medium,Open,,
TICK00092,ORD01013,CUST0510,2024-10-02,Delivery,Order was delivered very late,Low,Closed,7.0,5.0
TICK00093,ORD01792,CUST0786,2024-08-04,Refund,Refund not received even after return pickup,Low,Closed,3.0,5.0
TICK00094,ORD01577,CUST0238,2024-06-10,Refund,Refund amount is incorrect,Medium,Escalated,1.0,
TICK00095,ORD01688,CUST0011,2024-05-01,Return,Return process is taking too much time,Low,Open,,
TICK00096,ORD00112,CUST0698,2024-06-23,Return,Return request is not getting approved,Low,Closed,1.0,4.0
TICK00097,ORD02332,CUST0065,2024-06-02,App/Website,Product page is not loading properly,Medium,Closed,5.0,1.0
TICK00098,ORD02047,CUST0590,2024-07-19,App/Website,Product page is not loading properly,Low,Closed,5.0,1.0
TICK00099,ORD02333,CUST0491,2024-04-25,Product,Product quality is not good compared to description,Medium,Closed,1.0,5.0
TICK00100,ORD02043,CUST0222,2024-03-24,Return,Return pickup has not been completed,Medium,Open,,
TICK00101,ORD02062,CUST0463,2024-06-18,Product,Received damaged product and box was opened,Medium,Closed,6.0,5.0
TICK00102,ORD01335,CUST0273,2024-05-05,Payment,Payment failed but amount was deducted,Medium,Closed,4.0,2.0
TICK00103,ORD01373,CUST0278,2024-03-20,Product,Received damaged product and box was opened,Low,Closed,6.0,1.0
TICK00104,ORD00046,CUST0630,2024-10-29,Payment,Cash on Delivery option is not available,Low,Closed,7.0,1.0
TICK00105,ORD02451,CUST0619,2024-10-31,Product,Wrong product was delivered,Medium,Open,,
TICK00106,ORD01198,CUST0040,2024-10-10,Delivery,Order was delivered very late,Low,Open,,
TICK00107,ORD01137,CUST0113,2024-02-03,Product,Wrong product was delivered,Low,Closed,4.0,4.0
TICK00108,ORD01491,CUST0016,2024-06-05,Product,Wrong product was delivered,Low,Closed,3.0,1.0
TICK00109,ORD00190,CUST0311,2024-07-25,Product,Product is not working properly,Low,Open,,
TICK00110,ORD01818,CUST0788,2024-01-23,Refund,Refund amount is incorrect,Low,Closed,2.0,5.0
TICK00111,ORD00576,CUST0043,2024-09-22,Product,Received damaged product and box was opened,Low,Closed,6.0,5.0
TICK00112,ORD01638,CUST0320,2025-01-08,App/Website,App is crashing during checkout,Medium,Open,,
TICK00113,ORD00644,CUST0325,2024-07-20,Payment,Cash on Delivery option is not available,Low,Closed,9.0,4.0
TICK00114,ORD02405,CUST0544,2024-01-18,Payment,Payment status is showing pending,High,Closed,7.0,3.0
TICK00115,ORD00335,CUST0422,2024-06-27,Return,Return pickup has not been completed,Medium,Closed,3.0,2.0
TICK00116,ORD00071,CUST0788,2024-03-02,Return,Return request is not getting approved,Medium,Open,,
TICK00117,ORD01809,CUST0032,2024-04-19,Delivery,My order is delayed and I have not received any update,Low,Open,,
TICK00118,ORD00948,CUST0714,2024-04-20,Product,Product is not working properly,Low,Open,,
TICK00119,ORD00746,CUST0782,2024-11-15,Refund,Refund amount is incorrect,Low,Closed,1.0,2.0
TICK00120,ORD00605,CUST0587,2024-01-13,Return,Return request is not getting approved,Low,Closed,5.0,1.0
TICK00121,ORD01658,CUST0649,2024-05-25,Product,Received damaged product and box was opened,Medium,Open,,
TICK00122,ORD01457,CUST0623,2024-07-14,Product,Product is not working properly,Medium,Closed,9.0,3.0
TICK00123,ORD00606,CUST0764,2024-11-06,Delivery,My order is delayed and I have not received any update,Medium,Closed,5.0,2.0
TICK00124,ORD01838,CUST0514,2024-06-17,Product,Product is not working properly,Low,Closed,6.0,5.0
TICK00125,ORD02117,CUST0424,2024-07-16,Payment,Payment status is showing pending,Medium,Open,,
TICK00126,ORD00649,CUST0060,2024-06-08,Delivery,Order was delivered very late,Medium,Closed,3.0,2.0
TICK00127,ORD01416,CUST0672,2024-03-19,App/Website,App is crashing during checkout,Medium,Closed,4.0,4.0
TICK00128,ORD01187,CUST0424,2024-09-18,Refund,Refund status is not updated,Medium,Open,,
TICK00129,ORD01581,CUST0254,2024-12-10,Payment,Payment failed but amount was deducted,Low,Closed,9.0,2.0
TICK00130,ORD00974,CUST0166,2024-02-22,Product,Received damaged product and box was opened,Medium,Escalated,8.0,
TICK00131,ORD00065,CUST0424,2024-02-16,Payment,Unable to complete payment using UPI,Low,Closed,8.0,1.0
TICK00132,ORD01363,CUST0126,2024-08-14,Payment,Unable to complete payment using UPI,Low,Closed,6.0,3.0
TICK00133,ORD01247,CUST0644,2024-11-07,Delivery,Package tracking is not updating properly,High,Closed,1.0,1.0
TICK00134,ORD00322,CUST0764,2024-07-10,Product,Received damaged product and box was opened,Low,Escalated,9.0,
TICK00135,ORD01439,CUST0450,2024-08-11,Product,Product quality is not good compared to description,Medium,Open,,
TICK00136,ORD01743,CUST0790,2024-01-29,Payment,Unable to complete payment using UPI,Medium,Closed,4.0,5.0
TICK00137,ORD02048,CUST0373,2024-05-27,Delivery,Order was delivered very late,High,Closed,9.0,3.0
TICK00138,ORD00496,CUST0479,2024-08-21,Return,I am unable to schedule return pickup,High,Closed,6.0,5.0
TICK00139,ORD00278,CUST0356,2024-08-09,App/Website,Unable to login to my account,Low,Open,,
TICK00140,ORD01880,CUST0577,2024-08-02,Return,Return pickup has not been completed,Low,Closed,4.0,2.0
TICK00141,ORD01811,CUST0182,2024-09-06,Return,I am unable to schedule return pickup,Low,Closed,8.0,1.0
TICK00142,ORD01309,CUST0541,2024-05-16,Product,Product quality is not good compared to description,High,Open,,
TICK00143,ORD00833,CUST0109,2024-07-08,App/Website,Unable to login to my account,Medium,Escalated,6.0,
TICK00144,ORD02258,CUST0524,2024-02-22,App/Website,Coupon code is not applying,Low,Open,,
TICK00145,ORD01812,CUST0340,2024-03-24,App/Website,Product page is not loading properly,Medium,Closed,1.0,2.0
TICK00146,ORD00675,CUST0032,2024-12-19,Return,Return request is not getting approved,Low,Closed,4.0,4.0
TICK00147,ORD01139,CUST0216,2024-05-01,Delivery,My order is delayed and I have not received any update,Low,Closed,3.0,1.0
TICK00148,ORD01294,CUST0017,2024-02-11,Refund,Refund is delayed for more than one week,Medium,Open,,
TICK00149,ORD02268,CUST0517,2024-05-31,Delivery,Package tracking is not updating properly,Low,Closed,5.0,2.0
TICK00150,ORD00371,CUST0206,2024-11-09,Return,Return process is taking too much time,Low,Closed,3.0,3.0
TICK00151,ORD02266,CUST0193,2024-11-14,Delivery,My order is delayed and I have not received any update,Low,Closed,3.0,5.0
TICK00152,ORD01886,CUST0633,2024-09-26,Refund,Refund not received even after return pickup,High,Closed,8.0,5.0
TICK00153,ORD00141,CUST0578,2024-05-14,Product,Wrong product was delivered,Medium,Escalated,1.0,
TICK00154,ORD02073,CUST0725,2024-08-17,Return,Return request is not getting approved,Medium,Escalated,1.0,
TICK00155,ORD02052,CUST0322,2024-03-06,Refund,Refund status is not updated,High,Closed,9.0,1.0
TICK00156,ORD01246,CUST0096,2024-03-02,Payment,Unable to complete payment using UPI,Medium,Escalated,5.0,
TICK00157,ORD00030,CUST0603,2024-12-10,Refund,Refund status is not updated,Low,Closed,9.0,1.0
TICK00158,ORD02027,CUST0092,2024-06-24,Refund,Refund amount is incorrect,High,Open,,
TICK00159,ORD01349,CUST0516,2024-03-27,Refund,Refund amount is incorrect,High,Closed,2.0,3.0
TICK00160,ORD01292,CUST0292,2024-03-16,Return,Return pickup has not been completed,Medium,Closed,3.0,1.0
TICK00161,ORD00822,CUST0222,2024-01-25,App/Website,App is crashing during checkout,Medium,Closed,4.0,1.0
TICK00162,ORD02256,CUST0648,2024-10-24,Delivery,My order is delayed and I have not received any update,High,Closed,2.0,3.0
TICK00163,ORD00010,CUST0397,2024-10-03,Refund,Refund status is not updated,Medium,Open,,
TICK00164,ORD01494,CUST0276,2024-12-13,Delivery,Package tracking is not updating properly,Low,Closed,5.0,4.0
TICK00165,ORD00802,CUST0718,2025-01-08,Refund,Refund not received even after return pickup,Low,Escalated,1.0,
TICK00166,ORD01606,CUST0621,2024-06-09,Refund,Refund amount is incorrect,Low,Closed,5.0,3.0
TICK00167,ORD01388,CUST0557,2024-10-24,Payment,Cash on Delivery option is not available,Low,Closed,5.0,5.0
TICK00168,ORD01955,CUST0264,2024-03-09,Refund,Refund is delayed for more than one week,Low,Open,,
TICK00169,ORD00582,CUST0294,2024-09-22,Refund,Refund not received even after return pickup,Low,Closed,7.0,1.0
TICK00170,ORD02408,CUST0102,2024-04-07,Product,Product quality is not good compared to description,Low,Closed,6.0,1.0
TICK00171,ORD02137,CUST0739,2024-08-14,Payment,Payment status is showing pending,Low,Closed,7.0,3.0
TICK00172,ORD00889,CUST0316,2024-01-15,App/Website,Unable to login to my account,Low,Closed,2.0,3.0
TICK00173,ORD01520,CUST0751,2024-03-04,Payment,Payment failed but amount was deducted,Low,Open,,
TICK00174,ORD00137,CUST0055,2024-07-08,Return,Return pickup has not been completed,Medium,Closed,8.0,3.0
TICK00175,ORD01858,CUST0583,2024-01-12,App/Website,Coupon code is not applying,Medium,Closed,8.0,4.0
TICK00176,ORD00099,CUST0473,2024-08-04,Delivery,Delivery partner did not call before marking delivery failed,Low,Escalated,4.0,
TICK00177,ORD01431,CUST0503,2024-08-16,App/Website,Coupon code is not applying,Low,Closed,8.0,1.0
TICK00178,ORD00337,CUST0629,2024-12-24,Refund,Refund amount is incorrect,High,Open,,
TICK00179,ORD00778,CUST0450,2024-08-23,Refund,Refund is delayed for more than one week,Low,Closed,6.0,5.0
TICK00180,ORD00187,CUST0746,2024-02-16,Refund,Refund is delayed for more than one week,Low,Escalated,9.0,
TICK00181,ORD02459,CUST0688,2024-06-15,Product,Product quality is not good compared to description,High,Open,,
TICK00182,ORD01702,CUST0144,2024-09-10,Product,Wrong product was delivered,Low,Open,,
TICK00183,ORD01837,CUST0634,2024-04-09,Return,Return pickup has not been completed,Medium,Closed,8.0,3.0
TICK00184,ORD00745,CUST0614,2024-08-21,App/Website,Unable to login to my account,Low,Closed,9.0,5.0
TICK00185,ORD00266,CUST0771,2024-10-25,Delivery,Package tracking is not updating properly,Medium,Closed,6.0,5.0
TICK00186,ORD00527,CUST0536,2024-08-10,Return,I am unable to schedule return pickup,High,Closed,3.0,3.0
TICK00187,ORD02191,CUST0025,2024-09-08,Payment,Cash on Delivery option is not available,Medium,Closed,4.0,4.0
